"artist","song","text","songID","Popular"
"America","Have Yourself A Merry Little Christmas","Have yourself a Merry Little Christmas  
Let your heart be light  
From now on our troubles will be out of sight  
  
Have yourself a Merry Little Christmas  
Make the Yuletide gay  
From now on our troubles will be miles away  
  
Here were are as in olden days  
Happy golden days of yore  
Faithful friends who are dear to us  
Gather near to us once more  
  
Through the years we all will be together  
If the fates allow  
Hang a shining star upon the highest bough  
And have yourself a Merry Little Christmas now  
  
Here were are as in olden days  
Happy golden days of yore  
Faithful friends who are dear to us  
Gather near to us once more  
  
Through the years we all will be together  
If the fates allow  
Hang a shining star upon the highest bough  
And have yourself a Merry Little Christmas now

",12,1
"Amy Grant","A Christmas To Remember","Twinkling lights  
A chill is in the air  
And carols everywhere  
Close your eyes, it's almost here  
Candles and cards  
And favorite movie scenes  
The smell of evergreen  
As special as it's always been  
And I have a dream or two  
Maybe they will come true  
  
[Chorus:]  
Setting our hopes on a big snow tonight  
We'll wake up to a world of white  
It's gonna be a christmas to remember  
Light up the fire, play some Nat King Cole  
Always sentimental and don't you know that  
It's gonna be a Christmas to remember  
  
I know it's true  
Time doesn't stand still  
Many things can change  
But we know some things never will  
The memories we share  
The songs we always sing  
The mystery of life  
The hopefulness this season brings  
And I have a dream or two  
Maybe they will come true  
  
[Chorus:]

",13,0
"Amy Grant","Christmas Can't Be Very Far Away","Little bits of heaven  
Floating gently by the window  
Soon this dirty city will be  
Covered with a new snow  
  
Let's put on our winter boots  
Go outside and play  
Christmas can't be very far away  
  
Weather girl says """"bundle up""""  
It's gonna be a cold one  
I'll put on my wooly hat  
You'll wear your dad's old Stetson  
  
Pretty lights are everywhere  
Shining night and day  
Christams can't be very far away  
  
Let's take a walk downtown and  
Go dream shopping in the mall  
The kids can do the Santa thing  
Photographs and all  
  
We'll get the biggest tree this year  
And trim it to the top  
And spend a whole lot more  
Than what we've got  
But so what  
  
Come next spring  
I know we will be  
Ready for the sunshine  
Right now throwin' snowballs  
At each other's such a fun time  
  
Kids will think we're crazy  
For awhile and that's okay  
Christmas can't be very far away  
Christmas can't be very far away

",14,0
"Amy Grant","O Little Town","O little town of Bethlehem  
How still we see thee lie  
Above thy deep and dreamless sleep  
The silent stars go by  
Yet in thy dark streets shineth  
The everlasting light  
The hopes and fears of all the years  
Are met in thee tonight  
  
How silently, how silently  
The wondrous gift is given  
So God imparts to human hearts  
The blessings of His heaven  
We hear the Christmas angels  
The great glad tidings tell  
O come to us, abide with us  
Our Lord Emmanuel  
  
No ear may hear his coming  
But in this world of sin  
Where meek souls will receive Him  
Still the dear Christ enters in.

",15,0
"Andy Williams","Christmas Needs Love To Be Christmas","The Christmas tree is decorated, all the shopping's done  
Stockings line the fireplace one by one  
All the presents look so pretty, tied with brightly colored bows  
All these things help make this season still everybody knows  
Christmas needs love to be Christmas  
Christmas needs hearts for a joy  
Carolers singing, silver bells ringing and laughter for each girl and boy  
Christmas needs love to be Christmas  
It's all that we all need more of year in, year out, I'm left with no doubt  
The greatest of all gifts is love  
Christmas needs love to be Christmas  
Christmas needs hearts for a joy  
Carolers singing, silver bells ringing and laughter for each girl and boy  
Christmas needs love to be Christmas  
It's all that we all need more of year in, year out, I'm left with no doubt  
The greatest of all gifts is love  

",16,0
"Annie","We'D Like To Thank You","All  
  
Today we're living in a shanty  
Today we're scrounging for a meal  
  
Sophie  
  
Today I'm stealing coal for fires  
Who knew I could steal?  
  
Men  
  
I used to winter in the tropics  
  
Women  
  
I spent my summers at the shore  
  
Fred  
  
I used to throw away the paper  
  
All  
He don't anymore!  
We'd like to thank you: Herber Hoover  
For really showing us the way  
We'd like to thank you: Herbert Hoover  
You made us what we are today  
  
Prosperity was 'round the corner  
A cozy cottage built for two  
In this blue heaven  
That you  
Gave us  
Yes!  
  
We're turning blue!  
They offered us Al Smith and Hoover  
We paid attention and we chose  
Not only did we pay attention  
We paid through the nose.  
  
In ev'ry pot he said """"a chicken""""  
But Herbert Hoover he forgot  
Not only don't we have the chicken  
We ain't got the pot!  
Hey Herbie  
  
Women  
  
You left behind a greatful nation  
  
All  
  
So, Herb, our hats are off to you  
We're up to here with admiration  
  
Sophie  
  
Come down and have a little stew  
  
All  
  
Come down and share some Christmas dinner  
Be sure to bring the missus too  
We got no turkey for our stuffing  
So why don't we stuff you  
We'd like to thank you, Herbert Hoover  
For really showing us the way  
You dirty rat, you Bureaucrat, you  
Made us what we are today  
Come and get it, Herb!

",17,0
"Ariana Grande","Not Just On Christmas","[Refrain 1]  
I'll love you till I die, boy  
Every day of my life  
I celebrate you, baby, I adore you  
Not just on Christmas  
  
[Refrain 2]  
Wanna show you in so many ways  
365 days  
I'll give you all my presents, boy, I'm for you  
Not just on Christmas  
  
[Refrain 3]  
Baby, whether rain or shine  
Naughty or nice  
I'm by your side  
Ooh, ooh  
Ooh, ah  
Ah  
  
[Refrain 1]  
I'll love you till I die, boy  
Every day of my life  
I celebrate you, baby, I adore you  
Not just on Christmas  
  
[Refrain 3]  
Baby, whether rain or shine  
Naughty or nice  
I'm by your side  
Ooh, ooh  
Ooh, ah  
Ah

",18,0
"Arrogant Worms","Christmas Blues","Christmas is here, where did the time go?  
Got to load up the reindeer, put on my red suit and go  
I use to like Christmas, but every year it gets worse  
Getting gift to six billion people is just too much damn work  
Got the Christmas blues, man this job is killing me  
And most of these stupid new houses don't even have chimneys  
I use to be jolly, now I'm depressed  
Had a twinkle in my eye, now I've got a bullet proof vest  
'cause if the pace don't kill me, some gun totting yahoo will  
They keep shooting at me like I'm some sort of big fat red criminal  
Got the Christmas blues, I'm starting to see  
That I gotta be some sort of loser to get paid in milk and cookies  
I've grown to hate kids, especially their mail  
Always asking me for stuff, well guess what I don't care, oh  
Maybe I'm getting cranky as I get old  
'cause I feel like giving them all a big lump of coal  
Got the Christmas blues, man, enough is enough  
Next year you can find some other sucker to deliver this stuff  
Got the Christmas blues, I tell you I'm gonna quit  
And find me a steady job with good benefits

",19,0
"Arrogant Worms","Christmas Hangover","The holidays are over, you've gained twenty pounds  
The cat's choking on tinsel, pine needles stalk the ground  
There are no cards in the mailbox, just a stack of bills  
Yes, the holidays are over and you are feeling ill  
Have a happy Christmas hangover  
It's the most miserable time of the year  
The eggnog's made you fat, the party is over  
'Cept for your wacky Uncle who is still drinking your beer  
Turkey's great on Christmas bur after a whole month  
Of turkey pie stew and pie you start to dread lunch  
Breakfast is much scarier 'cause all there is to eat  
Is fourteen Christmas cakes and a bag of cranberries  
Have a happy Christmas hangover  
It's the most miserable time of the year  
Your uncle's in the bathroom and granny's on the sofa  
And you start to wish that they'd just disappear  
You ate too many liquor-filled chocolates  
Got no money left in your pockets  
But at least you got lots of  
Ugly sweaters and bow ties and socks  
(And twenty-two calenders!)  
You're skin is pale and pasty, your energy is spent  
Along with all the money you need to pay the rent  
The children are all crying 'cause they've broken all their toys  
Is this misery worth one day of joy?  
Have a happy Christmas hangover  
It's the most miserable time of the year  
Your uncle has passed out on granny on the sofa  
And you start to wish that you could disappear  
And you start to wish that you cold disappear  

",20,0
"Arrogant Worms","Christmas In Ignace","It's Christmas in Ignace  
Mommy's got a rock  
She'll give it to Daddy  
It's Christmas in Ignace (It's Christmas in Ignace)  
It's Christmas in Ignace  
Daddy's got a rock  
He'll give it to Mommy  
It's Christmas in Ignace (It's Christmas in Ignace)  
It's a jolly time (here in Ignace)  
As we decorate the Christmas Rock  
It's a happy time  
And if the children are good they'll get toys to play with  
Like rocks  
It's Christmas in Ignace  
Bob's got a rock  
But he's gonna keep it  
It's Christmas in Ignace (It's Christmas in Ignace)  
It's Christmas in Ignace  
Jill's got a rock  
She gives it to Bob  
Now he's got two  
It's Christmas in Ignace (It's Christmas in Ignace)  
It's a jolly time  
As we sit and watch Rocky 1,2,3,4,5  
It's a happy time  
Except for Malcolm  
His tongue is stuck to the sign that says,  
""""Welcome to Ignace""""  
It's Christmas in Ignace  
And all through the houses  
Not a creature is stirring  
Except for the rats  
That live here in Ignace  
Under the rocks  
That are played with by children  
And thrown at Malcolm  
Who's still stuck to the sign that says  
""""Welcome to Ignace""""  
It's Christmas in Ignace (It's Christmas in Ignace)  

",21,0
"Arrogant Worms","Christmas Sucks","One year I got a dog for Christmas  
And I gave it to the boy next door  
Then I gave him my bike and my mom's bank card  
'cause that's what Christmas is for  
I used to give a lot at Christmas  
You might say I gave to much  
Until my family was broke and we had no place to live  
That's why, Christmas Sucks  
I went down to the mall each Christmas  
Had to the Santa what to bring  
A train, a bike, a pony and a great big pile of cash  
And please don't get my sister anything  
But the shopping mall Santa has been drinking  
His nose is red from years of drinking scotch  
He probably won't remember what's on my Christmas list  
This Father Christmas sucks  
Chorus:  
Christmas Sucks, Christmas Sucks  
Getting stuff is much for fun, you gotta look out for number one  
Christmas Sucks  
Christmas became worse as years went by  
It was the most dreaded time of year  
My parents got me clothes that just weren't cool  
When all I want is money to buy beer  
There was a girl at church who I was sweet on  
So in the Christmas play I was the ox  
I really think she liked me til I stepped on Baby Jesus  
Even for our savious Christmas Sucks  
Chorus  
Now that I am thirty-wight years old  
The only things I get are ties and socks  
My kids are never happy with what's under the tree  
Soon they'll understand Christmas Sucks  
Every freakin' year Christmas Sucks  
Christmas Sucks, Christmas Sucks, Christmas Sucks  

",22,0
"Arrogant Worms","Christmas Turkey Blues","Hey kid, why the long face  
Is it 'cause Santa Clause is flying right over your place  
You've been a bad kid all year  
So quit you snivellin' sucker and wipe up them tears  
You don't deserve a damn thing  
You're not even cute and your attitude stinks  
It must suck to be you  
Nobody likes you so what can you do  
You think you got problems kid, you think you got strife  
But come each December do you fear for your life  
I'm your turkey so your troubles are small  
I'm stuffed on your table, I'm a tasty butterball  
I've got the christmas turkey blues  
If you got your necked ripped out then you'd have them too  
I've got the christmas turkey blues  
You chase me and waste and baste me and taste me and drown me in gravy too  
You sir, you look like heck  
Didn't you get your Christmas bonus cheque  
Or maybe your woman left you  
Ripped your heart right out of your chest and spat on it too  
Is that why you're wreaking of gin  
You look dishevelled and there's drool on your chin  
You thought that this love would laugh  
But she said Merry Christmas baby and she booted your ass  
Well that's tough for you mister, too bad about your ordeal  
How about getting stuffed in the wintertime, see how you feel  
I don't get to yank no bones or make me a wish  
It won't be long til I'm just some scraps on a dish  
I've got the christmas turkey blues  
If your butt was stuffed and roasted then you'd have then too  
I've got the christmas turkey blues  
You chase me and waste and baste me and taste me and drown me in gravy too  

",23,0
"Avril Lavigne","I Won't Be Home For Christmas","Outside the carolers start to sing  
I can't descibe the joy they bring  
'Cause joy is something they don't bring me  
  
My boifriend is by my side  
From the roof are hanging sickles of ice  
Their whiny voices get irritating  
It's Christmas time again  
  
So I stand with a dead smile on my face  
Wondering how much of my time they'll waste  
Oh God, I hate these Satan's helpers  
  
And then I guess I must have snapped  
Because I grabbed the baseball bat  
And made them all run for shelter  
  
It's Christmas time again  
It's time to be nice to the people you can't stand  
All year  
I'm growing tired of all this Christmas cheer  
You people scare me  
Please stay away from my home  
If you don't wanna get beat down  
Just leave the presents and then leave me alone  
  
Well, I guess it's not cool to freak on Christmas Eve  
Cause the cops came and arrested me  
They had an unfair advantage  
And even though the jail didn't have a tree  
Christmas came a night early  
Cause a guy named bubba unwrapped my package  
  
It's Christmas time again  
It's time to be nice to the people you can't stand  
All year  
I'm growing tired of all this Christmas cheer  
You people scare me  
Please stay away from my home  
If you don't wanna get beat down  
Just leave the presents and then leave me alone  
  
I won't be home, I won't be home for Christmas  
I won't be home, I won't be home for Christmas  
(Please post my bail)  
I won't be home, I won't be home for Christmas  
(Please post my bail)  
I won't be home, I won't be home for Christmas  
(Please post my bail)  
I won't be home, I won't be home for Christmas  
(Please post my bail)  
I won't be home, I won't be home for Christmas

",24,0
"Barbie","It's A Perfect Christmas","Well I've been waiting all year  
Just for this day to get here,  
And I've been learning nothing goes  
Exactly like you plan.  
  
Yeah, I've been flying solo,  
Wishing I was in Soho.  
I thought I'd be a no-go for this show,  
But here I am.  
  
You might have seen me checking out  
What's underneath that tree,  
But I have realized that there is  
Just one gift for me.  
  
It's a perfect Christmas,  
It's a perfect Christmas,  
It's a perfect Christmas  
'Cause I'm with you!  
  
Wooh!  
  
The ornaments are rocking,  
Somebody stole my stocking.  
I think I threw out all my gift cards  
With the recycling.  
  
The Christmas lights are tangled,  
The mistletoe got mangled,  
And even though my nerves are jangled,  
I'm good with everything!  
  
'Cause now I know the reason  
It's the season of good cheer.  
I'd even eat the fruit cake,  
It's the same one as last year!  
  
It's a perfect Christmas,  
It's a perfect Christmas,  
It's a perfect Christmas  
'Cause I'm with you!  
  
Hey! Hey! Hey!  
Put your hands up in the air!  
Ho! Ho! Ho!  
Santa, can you feel it?  
Here we go!  
Spread the magic everywhere.  
Hey! Ho! Everybody shout out loud!  
  
It's a perfect Christmas,  
It's a perfect Christmas,  
It's a perfect Christmas  
'Cause I'm with you! (Hey! Hey! Hey!)  
'Cause I'm with you! (Ho! Ho! Ho!)  
'Cause I'm with you! (Here we go!)  
'Cause I'm with you! (Ho! Ho! Ho!)  
'Cause I'm with you.

",25,0
"Barbra Streisand","A Christmas Love Song","All I want for Christmas is you  
Your the gift that's made my dreams all come true  
All I need for Christmas is here  
Finding every sweet surprise wrapped up in your eyes  
Waiting there for me underneath the tree  
We'll the spend the day exchanging kisses  
Smile and say What a Christmas this is  
Long before the snowflakes appear  
Without bells or mistletoe or the tinsel silver glow  
You just look at me and Oh!  
Christmas is here!  
  
We will smile and say What a Christmas  
This is  
Long before the snowflakes appear  
Without bells or mistletoe  
Or the tinsel silver glow  
You just have to look at me and Oh!  
Christmas is here

",26,1
"Barbra Streisand","Christmas Lullaby","This is a Christmas Lullaby  
To steal softly into dreaming  
A simple Christmas lullaby  
I sing to you each passing year  
The world is wrapped in joy and wonder in silent mystery  
And in this spell that we are under  
Blessing surround our hearts completely  
This is a Christmas Lullaby  
For someone lovely as snow falling  
I sing your Christmas Lullaby  
To cradle you with all our love  
Let peace on earth be yours tonight  
Under the star that shines so bright  
The world is wrapped in joy and wonder  
In Silent mystery  
And in this spell that we are under  
Blessing surround our hearts completely  
Now close your eyes and as you sigh  
Make up a Christmas wish to dream on  
And like the moon that shines on high  
Send out your wish to that star in the sky  
Blessed by this Christmas lullaby.........!

",27,0
"Barbra Streisand","Christmas Mem'ries","Singing carols  
Stringing popcorn  
Making footprint in the snow  
Mem'ries  
  
Christmas Mem'ries  
They're the sweetest ones I know  
Cookies baking  
In the kitchen  
  
Cards and ribbons  
Everywhere  
Frosty Christmas Mem'ries  
Float like snowflakes in the air  
  
And oh the joy of waking X-mas morning  
The fam'ly round the tree  
We had a way of making X-mas morning  
As merry as can be  
  
I close my eyes and see  
Shiny faces  
Of all the children  
Who now have children of their own  
  
Funny  
But come December'  
I remember every X-mas I've known  
We had a way of making X-mas morning  
  
As merry as can be  
I close my eyes and see  
Those shiny faces  
Of all the children who now have children  
  
Of their own  
It's funny  
But come December  
When I remember  
  
Every X-mas I've ever known  
Singing carols  
Stringing popcorn  
Shiny faces of all the children  
  
Precious mem'ries  
Of every Christmas  
I've known...

",28,0
"Barbra Streisand","Grown-up Christmas List","Do you remember me  
I sat upon your knee  
I wrote to you with childhood fantasies  
Well I'm all grown up now  
Can you still help somehow  
I'm not a child but my heart still can dream  
So here's my lifelong wish  
My grown-up X-mas list  
Not for myself but for a world in need  
No more lives torn apart  
That wars would never start  
And time would heal all hearts  
Every man would have a friend  
That right would always win  
And love would never end  
This is my grown-up Christmas list  
What is this illusion called  
The innocence of youth  
Maybe only in that blind belief  
Can we ever find the truth  
There'd be no more lives torn apart  
That wars would never start  
And time would heal all hearts  
And every man would have a friend  
And right would always win  
And love would never end  
This is my grow-up X-mas list  
This is my only life-long wish  
This is my grown-up X-mas list....

",29,0
"Barbra Streisand","Have Yourself A Merry Little Christmas","Christmas' future is far away  
Christmas' past is passed  
Christmas' present is here today  
Bringing joy that will last  
Have yourself a merry little Christmas  
Let your hearts be light  
From now on our troubles will be out of sight  
Have yourself a merry little Christmas  
Make the Yule time gay  
From now on our troubles will be miles away  
Here we are as in olden days  
Happy golden days of yoke  
Faithful friends who are dear to us  
Gather near to us once more  
Through the years we all will be together  
If the fates allow  
Hang a shining star upon the highest bow  
(Hang a shining star)  
And have yourself a merry little Christmas now  
(Have yourself a merry little Christmas now...)

",30,1
"Barbra Streisand","I Remember","I awake on a chilly Christmas morning  
Watching choirs singing carols on TV  
I gaze out through my window at a dozen other windows  
Then I plug in my artificial tree  
And like a dream I begin to remember every Christmas I used to know  
A thousand miles away, a million years ago  
I remember sky.  
It was blue as ink  
Or at least I think  
I remember sky  
I remember snow, soft as feathers, sharp as thumbtacks  
Coming down like lint  
And it made you squint when the wind would blow  
And ice like vinyl on the streets  
Cold as silver, white as sheets  
Rain like strings and changing things  
Like leaves  
I remember leaves  
Green as spearmint  
Crisp as paper  
I remember trees  
Bare as coat racks, spread like broken umbrellas  
And parks and bridges, ponds and zoos  
Ruddy faces, muddy shoes  
Light and noise and bees and boys  
And daaaaays, oh!  
I remember days or at least I try  
But as years go by, they're a sort of haze  
And the bluest ink isn't really sky.  
And at times I think I would gladly die  
For a day of sky!

",31,0
"Barbra Streisand","I'll Be Home For Christmas","I'm dreaming tonight  
Of a place I love  
Even than more than I usually do  
And although I know  
  
It's long road back  
I promise you  
I'll be home for Christmas  
You can count on me  
  
Please have snow  
And mistletoe  
And presents round the tree  
Christmas eve is gonna find me  
  
Where the love light gleams  
I'll be home for Christmas  
If only in my dreams  
I'll be home for Christmas  
  
You can count on me  
Please have some snow  
And lots of mistletoe  
And presents round that tree  
  
Christmas eve is gonna find me  
Where the love light gleams  
I'll be home for Christmas  
If only in my dreams  
If only in my dreams....

",32,1
"Beach Boys","Auld Lang Syne","Should old acquaintance be forgot  
And never brought to mind  
Should old acquaintance be forgot  
And days of Auld Lang Syne  
For Auld Lang Syne, my dear  
  
Hi, this is Denny, and speaking for the rest of the guys  
I'd like to say that it has been a great pleasure  
For all of us to bring you this Christmas album  
We hope you will treasure it the way we do  
  
And if you hap happen to be listening to this album right now  
Mike, Brian, Carl, Al and I would like to wish every one of you a very merry
Christmas  
And we hope the new year brings you as much happiness as this year has brought
us.  
Thank you very much.  
  
May old acquaintance be forgot  
And days of Auld Lang Syne

",33,0
